categories/folders,Item Code,pic File name,Description,"oz., lb., gram, kg",Pieces Per Case,Price,Price Per Piece,Kashrut
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,HALV11,HALV11.jpeg,Achva Marble Halva 12/16oz,16 oz,24,36.00,$1.50,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,HALV10,HALV10.jpeg,Achva Vanilla Halva 12/16oz,16 oz,12,36.00,$3.00,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,CRUN08,CRUN08.jpg,Almond Honey Crunch 24/3 oz,3 oz,24,47.00,$1.96,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,KIM04,KIM04.jpg,Barth's Kimmel Crackers 24/ 170gr,,24,41.00,$1.71,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,COOK60,COOK60.bmp,Cabrioni Italian Cacao Assorted Cookie Bag  8/650gr,650 grm,8,34.00,$4.25,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,COOK52,COOK52.jpg,Campiello Italian Cholesterol Free Cookies 12x350G,350 grm,12,24.00,$2.00,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,COOK50,COOK50.jpg,Campiello Italian Sugar Free Cookies 12x350G,350 grm,12,24.00,$2.00,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,COOK70,COOK70.bmp,Delice Italian Assorted Cookies 12/400gr,400 grm,12,36.00,$3.00,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,COOK40,,Elit Crescent Cookies 12/25 gr,25 grm,12,6.00,$0.50,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELIT037,,Elite  (S/F)Sugarless Bittersweet Choc. Bar 12/3oz,3 oz,12,24.00,$2.00,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELIT034,ELIT034.jpg,Elite Bittersweet Chocolate Bar 12/3oz,3 oz,12,18.00,$1.50,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELIT035,ELIT034.jpg,Elite Bittersweet Chocolate Bar 24/3oz,3 oz,24,30.00,$1.25,
